
University,Location,Latitude,Longitude
"University of Texas, Austin","Austin, TX, USA",30.2849,-97.7341
University of Virginia,"Charlottesville, VA, USA",38.0336,-78.508
University of Warsaw,"Warsaw, Poland",52.24,21.019
University of Washington,"Seattle, WA, USA",47.655,-122.308
University of Western Ontario (Western University),"London, ON, Canada",43.009,-81.272
University of Zagreb,"Zagreb, Croatia",45.8058,15.9719
University of Zurich,"Zurich, Switzerland",47.378,8.547
Uppsala University,"Uppsala, Sweden",59.8586,17.6389
Vilnius University,"Vilnius, Lithuania",54.682,25.287
Waseda University,"Tokyo, Japan",35.7089,139.7128
Washington University in St. Louis,"St. Louis, MO, USA",38.6488,-90.3078
Wayne State University,"Detroit, MI, USA",42.3599,-83.0665
Western Washington University,"Bellingham, WA, USA",48.7378,-122.4869
Whatcom Community College,"Bellingham, WA, USA",48.7752,-122.4274
Yale-NUS College,Singapore,1.3046,103.7759
Yale University,"New Haven, CT, USA",41.3163,-72.9223
Yonsei University,"Seoul, South Korea",37.5663,126.9386
